שם מלא,תפקיד,רקע מקצועי
עינת אוחיון,"מנהלת אגף א' מורשת, חברה ורוח במשרד החינוך","עינת היא מנהלת אגף א' מורשת, חברה ורוח במשרד החינוך. בתפקידה הקודם שימשה כמפמ""ר אזרחות, משרד החינוך. החלה את דרכה במקיף הדתי יגאל אלון ביהוד כמורה לאזרחות ומדעי החברה, מחנכת ורכזת פדגוגית. ניהלה במשך תשע שנים את אולפנית הראל- תיכון עירוני דתי לבנות בכפר סבא. במהלך שנות הניהול חנכה וליוותה מנהלים חדשים ופרחי ניהול וכן הייתה שותפה בפיילוט ייחודי במסגרת ""תקווה ישראלית"". כיום בתפקיד מנהלת תחום דעת (מפמ""ר) אזרחות."
טל אוחנה,פרויקטורית צמיחה במעלה יוסף,"טל עוסקת בפיתוח כלכלי מקומי, הכשרות בכירים וליווי מנהיגים לקראת ובמהלך כהונות פוליטיות. בעברה שימשה כראש מועצה מקומית ירוחם, חברה בוועדות המכרזים והארנונה, ודירקטורית בחברה לפיתוח הכלכלי של ירוחם. קודם לכן כיהנה כסגנית וממלאת מקום ראש מועצת ירוחם והחזיקה את תיק החינוך והפיתוח האסטרטגי. בשנים 2010-2009 היא כיהנה כמנהלת עמותת ""צעירים בירוחם, מיסדה את תחום הצעירים בעיר ובמקביל הקימה וניהלה את התוכנית הארצית למנהיגות סטודנטים של מרכז מעשה. שנה לפני כן שימשה כרכזת תוכנית מנהיגות סטודנטים בקרן רש""י במכללה האקדמית עמק יזרעאל ויזמה תוכניות ופרויקטים חברתיים שונים. בשנת 2007 היא עבדה כמנהלת יחידת אייסף במכללת עמק יזרעאל ובשנתיים שקדמו לכך עסקה בהוראה וליווי חברתי בכפר הנוער ויצ""ו נהלל, בהפעלת עמותת סיוע לנצרכים על ידי בני נוער בירוחם, בליווי ובהנחיית גרעין הסטודנטים צב""י בירוחם, ובסיוע בהפעלת פרויקט סל""ע לנערות עולות של ארגון ידידים. בשנים 2005-2004 ריכזה פרויקטים בתחום הנוער במתנ""ס ירוחם, ייסדה את תנועת אלפונסו צבע"" לעידוד עלייה וחינוך ציוני בקרב יהדות מרוקו וניהלה בהתנדבות את סניף לתת בעיר."
שירה אוחנה,"מנכ""לית המועצה המקומית חורה לשעבר","שירה היא מנכ""לית המועצה המקומית חורה. בתפקידה הקודם הייתה סמנכ""לית האסטרטגיה והפיתוח הארגוני בארגון שותפויות אדמונד דה רוטשילד, שהייתה בין מייסדיו בשנת 2016 וניהלה בו את תוכנית המנהיגות קו הזינוק. במסגרת תפקידה הקודם עסקה בצמצום פערים ובחיזוק חוסנה של החברה הישראלית באמצעות הכשרת צעירים, בעיקר מהפריפריה הגיאו-חברתית, להובלת שינוי מתוך עמדות השפעה בחברה ובכלכלה."
יובל אוליבסטון,"סגן יו""ר המזכירות הפדגוגית ומנהל אגף א' פיתוח פדגוגי במשרד החינוך","יובל הוא סגן יו""ר המזכירות הפדגוגית ומנהל אגף א' פיתוח פדגוגי במשרד החינוך. במסגרת תפקידו הוא אחראי על גיבוש התשתית הפדגוגית של תחומי הדעת במשרד החינוך ומסייע ליו""ר המזכירות הפדגוגית לעצב את המדיניות הפדגוגית במערכת החינוך. בתפקידו הקודם היה מנהל אגף מקצועות המורשת, האחראי על עיצוב המדיניות הפדגוגית במקצועות המורשת בבתי הספר של המגזרים השונים בישראל. יובל מכהן גם כרב מחתן בארגון רבני צהר."
ליבנת (לובה) אוליניצקי,"סמנכ""לית תכנון נתיבי ישראל","ליבנת היא סמנכ""לית תכנון נתיבי ישראל. לפני כן עבדה ברשות מקרקעי ישראל באגף תשתיות ופיתוח כסגנית מנהל אגף. במסגרת תפקיד זה היא הובילה הסכמי גג ב-19 רשויות מקומיות, הייתה אחראית על פתרון חסמי דיור ברמת השלטון המרכזי והמקומי, ניהלה תקציבי פיתוח תשתיות של מעל 3 מיליארד ₪ לשנה ונגעה בכל היבטי ענף הדיור. לליבנת תואר ראשון בכלכלה ותואר שני במנהל עסקים ומימון. עם סיום לימודיה האקדמאים, היא עבדה כשבע שנים בהייטק כאנליסטית פיננסית בכירה."
מורן אומן,שותפה מנהלת משרד עורכי דין אגמון עם טולצ'ינסקי,"מורן אומן היא השותפה המנהלת של משרד עורכי דין אגמון עם טולצ'ינסקי, ממשרדי עורכי הדין הגדולים והמובילים בארץ. מורן עורכת דין בתחום התחרות וההגבלים העסקיים - מלווה חברות בהליכי רגולציה, ליטיגציה אזרחית ופלילית, ייעוץ שוטף ומתן חוות דעת. בין היתר ייצגה חברות במתווה הגז, בהליך חקיקת חוק הריכוזיות וחקיקת החוק להגברת התחרות במערכת הפיננסית.
בשנים האחרונות מנהלת את פעילות הפירמה ובתוך כך בניית האסטרטגיה העסקית, הניהול הפיננסי של הפירמה וההון האנושי."
תמי אומנסקי,"מנהלת אגף בכיר חינוך מיוחד, המנהל הפדגוגי משרד החינוך","תמי היא מנהלת אגף בכיר' חינוך מיוחד במשרד החינוך. בעבר היא ניהלה את תחום משרד החינוך במטה הלאומי להגנה על ילדים ובני נוער ברשת – מערך בין-משרדי ייחודי בישראל ובעולם שהיא שותפה להקמתו. תמי הקימה גם את תחום החינוך כחלק מהמערך וכאגף חדש בשפ""י במשרד החינוך. בנוסף, היא מרצה לתואר שני בייעוץ חינוכי במל""א (המרכז ללימודים אקדמיים). בתפקידה הקודם הייתה תמי סגנית מנהלת אגף ייעוץ וממונה על הפיתוח המקצועי ועל הייעוץ בגיל הרך, ולפני כן הייתה מפקחת על יועצים חינוכיים. בכל תפקידיה בעבר ובהווה תמי פועלת לקידום הרווחה הנפשית, מתוך תפיסה הוליסטית אקולוגית ומתוך חקירה של עולם המשמעויות ופיתוח מיומנויות להתמודדות במציאות משתנה."
אלונה בר און,מו״ל גלובס,"אלונה משמשת כמנהלת ומייסדת בית וגג - קרן ייזום והשקעות בתחום ההתחדשות העירונית בישראל. היא גם מכהנת כדירקטורית בחברת הקניונים והמרכזים המסחריים מליסרון, ו יו""ר ביומון הכלכלי גלובס. בשנים קודמות שימשה כיועצת כלכלית בחברת פרופ' יצחק סוארי בע""מ' ובמסגרת תפקידה ליוותה את החברות הגדולות במשק בתהליכי מיזוגים ורכישות. את שירותה הצבאי סיימה אלונה ככתבת צבאית בשבועון במחנה."
אליעזר בר און,ראש מכינת בני דוד מעלה אפרים ויושב ראש ועד המכינות,"אליעזר הוא איש חינוך, ראש מכינת בני דוד מעלה אפרים ויושב ראש ועד המכינות. ממקימי הישיבה בעלי ומייסד המכינה במעלה אפרים. במקביל ממלא תפקידי פיקוד בצבא ותפקידים רבניים"
אביטל אופק,Cheif business officer - חברת דוראל אנרגיה,"אביטל הוא עו""ד, מנהל פעילות דוראל בישראל (חברה ציבורית העוסקת בתחום האנרגיה)."
טלי גולדשטיין אורגיל,"מנהלת אגף חברה וקהילה, עיריית חיפה","טלי מנהלת את אגף חברה וקהילה בעיריית חיפה החל משנת 2021. אגף חברה וקהילה הינו היחידה העירונית המובילה את פיתוחה של העיר חיפה בהיבטי איכות חיים הנוגעים לתחומי הרב תרבותיות, מעורבות ושותפות, חוסן חברתי וקהילתי, נגישות ושוויון ושרותי פנאי. כמנהלת האגף, טלי שותפה לגיבוש החזון העירוני בתחום זה ואמונה על בניית והטמעת המדיניות הנגזרת ממנו עבור כ-60 יחידות עירוניות ויחידות הסמך תוך פיתוח מערך שותפויות עירוניות וחוץ עירוניות. לפני כן, טלי הייתה חברת צוות בהנהלת מחוז מרכז בחברה הארצית למתנ""סים כמובילה ומתכללת את תחום בינוי קהילה במחוז."
דינה אורקין,"מנהלת אגף חדרי ניתוח , הרדמה וכאב . מנהלת מרכז לרפואה מותאמת אישית PlanNet","החל משנת 2017 משמשת כמנהלת אגף חדרי ניתוח , הרדמה וכאב במרכז הרפואי שיבא תל השומר . קודם לכן והחל מ 2013 ובמשך שנתיים  מנהלת הרדמה ב במרכז הרפואי שיבא בתל השומר .
לפני כן והחל משנת 2011 ובמשך שנה וחצי מנהלת יחידת התעוררות במרכז הרפואי קפלן .
לפני כן והחל משנת 2004 ובמשך 7 שנים מנהלת יחידת הרדמה ילדים בבית החולים שערי צדק ירושלים .
את ההתמחות עשיתי בשערי צדק בהרדמה ,הרדמת ילדים וטיפול נימרץ ."
איימן אזברגה,עורך דין עצמאי,איימן הוא עורך דין עצמאי. היה ראש תחום פיתוח כלכלי בארגון ינאביע. הארגון הוקם מתוך חזון לקידום החברה הבדואית כך שתהווה מנוע צמיחה משמעותי בנגב ותתפוס את המקום הראוי לה במרקם החברתי. במסגרת תפקידו איימן שם דגש על העסקת נשים בחקלאות ובתעשיה.
יאסין אזברגה,מהנדס מ.מ כסייפה,"יאסין משמש כמנהל אגף בהנדסה , מ.מ כסייפה. לפני כשנתיים החל לעבוד ברשות מנהל פרויקטים ולאחר מכן קודם לסגן מנהל אגף הנדסה. היום ממלא תפקיד מנהל אגף בהנדסה. עסק בהנדסת בניין בסקטור הפרטי כ-15 שנה (ניהול ביצוע מוסדות ציבור, בנייה פרטית ,ומוסדות ממשלתיים ). לפני שנתיים עבר נקודת מפנה והחליט מתוך שליחות לעבוד ברשות המקומית כסיפה, תהליך זה היה מלווה בהחלטה ובגביית מחיר. בכל זאת היה שלם עם ההחלטה מתוך דאגה לעתיד האישי שלו ועתיד משפחתו והיישוב. יאסין נמצא באחת המחלקות החשובות ברשות ובמסגרת תפקידו אחראי על כל הפרויקטים ההנדסיים. חבר בפורום מקצועי שיושב בראשותו של ראש הרשות ,תפקיד הפורום הוא קבלת החלטות מקצועיות ואסטרטגיות."
עופר אזרד,"סמנכ""ל ביצוע בחברת בנייה פרטית",
פיליפ אזרד,"מנכ""ל עיריית אילת","פיליפ הוא מנכ""ל עיריית אילת. במסגרת תפקידו הוא אמון על ניהול כולל של יחידות העירייה השונות ועל בניית תוכניות אב ופיתוח אסטרטגיות עירוניות במגוון תחומי פעילותה של העירייה. בשנים 2004–2010 היה פיליפ מנכ""ל החברה הכלכלית אילת."
בסאם סייד אחמד,"פרויקטור ויועץ בפיתוח מנועי צמיחה וכלכלה מקומית ואזורית בקרן בלומברג . מנכ""ל חברה עסקית פרטית","בסאם הוא פרויקטור ויועץ בפיתוח מנועי צמיחה אזוריים ופיתוח כלכלה מקומית ואזורית בקרן פורטלאנד ישראל. לפני כן עבד כמנהל אזורי במעוף אשכול גלילי, ולאחר מכן שימש כמנהל מרכז העסקים ומעוף סכנין. במסגרת התפקיד שימש כיועץ וכמלווה עסקי לעסקים וליזמים באזור, ניהל מרכז עסקים כחממה עסקית ליזמים ועסקים חדשים ועזר להם דרך השירותים המוענקים על ידי משרדי הממשלה לצמוח, להתפתח ולגדול בעשייה העסקית. הוא עזר בהנגשת שירותי משרדי הממשלה לעסקים עד 100 עובדים באזור הצפון כמו מימון, ייעוץ, סדנאות והדרכות."
אהרון אטיאס,"מנכ""ל עיריית לוד","אהרון הוא מנכ""ל עיריית לוד החל משנת 2013. במסגרת תפקידו הוא אחראי על תפקודה הכללי של העירייה, מתן שירות לתושבים ויישום חזונם של ראש העיר והמועצה. קודם לכן הקים את הגרעין התורני בלוד והיה מנהלו במשך עשר שנים. בהמשך, הקים את המכינה הקדם-צבאית מעוז ואת גרעין רמת אשכול והיה מנהל הארגון."
וואפא איוב,"מנהלת תכנית ריאן ירושלים, עיריית ירושלים","ניסיון רב שנים בארגונים חברתיים וארגוני זכויות אדם, בעשור האחרון מנהלת את תכנית ריאן במזרח ירושלים, מיזם במימון משרד העבודה, בשיתוף ובהפעלת עיריית ירושלים, תפקיד הכולל בין היתר הקמת וניהול כלל הפעילות של המרכזים להכוון תעסוקתי, לרבות תכניות עבודה, 28 אנשי צוות, היקף תקציב שנתי העומד על כעשרה מיליון ש""ח. ניהול שותפויות ואיגום משאבים, ותיאום בין השותפים בשטח ובממשל."
רחלי חפץ איזנפלד,סגנית מנהלת בית רבקה - מרכז רפואי שיקומי גריאטרי מקבוצת כללית,"מספטמבר 2023 רחלי משמשת כסגנית מנהלת בית רבקה, מרכז רפואי שיקומי גריאטרי  מקבוצת כללית. לפני כן במשך חמש שנים ניהלה את המערך הגריאטרי במרכז הרפואי מאיר. בין השנים 2013- 2018 עבדה כרופאה בכירה במערך הגריאטרי ובמחלקה פנימית א במרכז הרפואי מאיר. בשנים אלו הייתה חברה בועד האיגוד הגריאטרי והצטרפה לצוות המדריכים בחוג לחינוך רפואי באוניברסיטת תל אביב כמנחת קבוצות של סטודנטים לרפואה.  לרחלי התמחות ברפואה פנימית ובגריאטריה, את שתיהן עשתה במרכז רפואי מאיר."
